,詞,標準症狀,詞長度
3481,手心熱,手心熱。,3
3482,面色浮紅,面色紅。,4
3483,無力懶言,四肢無力。,4
3484,無力懶言,意識懶言。,4
3485,面白神弱,面色白。,4
3486,面白神弱,情緒神疲。,4
3487,午後微有潮熱,潮熱。,6
3488,短氣乏力,呼吸微弱。,4
3489,短氣乏力,四肢無力。,4
3490,心中慌亂,情緒心慌。,4
3491,咳痰不利,咳痰。,4
3492,咳痰不利,痰難咳出。,4
3493,心累心跳,情緒神疲。,4
3494,心累心跳,心悸。,4
3495,胸部疼痛,胸痛。,4
3496,嘴唇青紫,唇色紫。,4
3497,腹內脹氣,腹脹。,4
3498,面目及肢體浮腫,面浮腫。,7
3499,面目及肢體浮腫,四肢浮腫。,7
3500,面目及肢體浮腫,全身浮腫。,7
3501,汗出心慌,自汗。,4
3502,汗出心慌,情緒心慌。,4
3503,偶有胸前區刺痛,胸痛。,7
3504,口乾乏力,口乾。,4
3505,口乾乏力,四肢無力。,4
3506,入夜不寐,難眠。,4
3507,咳血不止,咳血。,4
3508,咳嗽氣促,咳嗽。,4
3509,咳嗽氣促,呼吸急促。,4
3510,午前發熱，過勞加重，休息稍緩,發熱。,14
3511,體虛乏力,四肢無力。,4
3512,畏寒怕風,畏寒。,4
3513,畏寒怕風,畏風。,4
3514,氣弱懶言,呼吸微弱。,4
3515,氣弱懶言,意識懶言。,4
3516,飲食無味,食欲低落。,4
3517,面(白光)唇淡,面色白。,7
3518,面(白光)唇淡,唇色白。,7
3519,手足微熱,四肢熱。,4
3520,神識模糊,意識恍惚。,4
3521,時欲渴飲,口渴。,4
3522,飲亦不多,渴而少飲。,4
3523,夜熱出汗,夜時發熱。,4
3524,夜熱出汗,自汗。,4
3525,臥即覺熱,發熱。,4
3526,熱則汗出,自汗。,4
3527,胸隱痛,胸痛。,3
3528,咳嗽痰稠,咳痰。,4
3529,咳嗽痰稠,痰質濃。,4
3530,體瘦形羸,全身消瘦。,4
3531,面浮神疲,面浮腫。,4
3532,面浮神疲,情緒神疲。,4
3533,形瘦色萎,全身消瘦。,4
3534,形瘦色萎,面色黃。,4
3535,身乏無力,情緒神疲。,4
3536,身乏無力,四肢無力。,4
3537,面足微腫,面腫脹。,4
3538,面足微腫,下肢腫脹。,4
3539,肛門虛墜,肛門墜脹。,4
3540,神氣不足,情緒神疲。,4
3541,頭暈乏力易倦,頭暈。,6
3542,頭暈乏力易倦,四肢無力。,6
3543,頭暈乏力易倦,情緒神疲。,6
3544,月經過多，淋漓不淨,月經量多。,9
3545,月經過多，淋漓不淨,月經不止。,9
3546,鼻衄不止,鼻衄。,4
3547,口齒出血,口出血。,4
3548,口齒出血,牙齦出血。,4
3549,月經過多不淨,月經量多。,6
3550,月經過多不淨,月經不止。,6
3551,月經量多，遷延半月，色較淡,月經量多。,13
3552,月經量多，遷延半月，色較淡,月經經期過長。,13
3553,月經量多，遷延半月，色較淡,月經色淡紅。,13
3554,神倦,情緒神疲。,2
3555,手足冰冷,四肢冷。,4
3556,胸脘悶脹,胸悶。,4
3557,胸脘悶脹,胸脹。,4
3558,胸脘悶脹,胃悶。,4
3559,胸脘悶脹,胃脹。,4
3560,形體羸弱,全身消瘦。,4
3561,煩熱,情緒煩躁。,2
3562,煩熱,發熱。,2
3563,痰中帶紅,痰色紅。,4
3564,面色萎白,面色黃。,4
3565,面色萎白,面色白。,4
3566,衄後頭暈,鼻衄。,4
3567,衄後頭暈,頭暈。,4
3568,肉瞤,肉顫。,2
3569,面色(白光)白滯黯,面色白。,9
3570,面色(白光)白滯黯,面色暗。,9
3571,頭暈耳鳴,頭暈。,4
3572,頭暈耳鳴,耳鳴。,4
3573,量多如崩，色紅有塊，動輒更甚,月經量多。,14
3574,量多如崩，色紅有塊，動輒更甚,月經色紅。,14
3575,量多如崩，色紅有塊，動輒更甚,月經挾塊。,14
3576,精神萎靡不振,情緒神疲。,6
3577,暈厥倒地,意識昏迷。,4
3578,手腕偏涼,手腕冷。,4
3579,納谷少,食欲低落。,3
3580,運化遲,大便質稀。,3
3581,形寒畏冷,畏寒。,4
3582,形瘦骨立貪睡,全身消瘦。,6
3583,形瘦骨立貪睡,嗜睡。,6
3584,露睛不食,張目。,4
3585,露睛不食,食欲低落。,4
3586,呼吸微弱,呼吸微弱。,4
3587,小便清少,小便色清。,4
3588,小便清少,小便量少。,4
3589,時有脫肛,脫肛。,4
3590,腹高膨大，但軟如水囊，便後腹壁陷背，少頃又腹高如鼓,腹脹。,25
3591,久瀉瀉下完谷,大便次多。,6
3592,久瀉瀉下完谷,大便質稀。,6
3593,久瀉瀉下完谷,大便挾食物。,6
3594,頭暈乏力,頭暈。,4
3595,頭暈乏力,四肢無力。,4
3596,納呆不振,食欲低落。,4
3597,大便不解，解則便溏,大便次少。,9
3598,大便不解，解則便溏,大便質稀。,9
3599,大便泄瀉,大便次多。,4
3600,大便泄瀉,大便質稀。,4
3601,食後脹滿益甚，久則吐出,食後腹脹。,11
3602,食後脹滿益甚，久則吐出,嘔吐。,11
3603,語言無力,情緒聲弱。,4
3604,口饞欲納，但納不多,食欲亢進。,9
3605,口饞欲納，但納不多,食欲低落。,9
3606,形瘦神疲,全身消瘦。,4
3607,形瘦神疲,情緒神疲。,4
3608,皮毛憔悴,體毛焦枯。,4
3609,嘈雜善飢,嘈雜。,4
3610,嘈雜善飢,食欲亢進。,4
3611,唇口作乾,唇乾。,4
3612,唇口作乾,口乾。,4
3613,不欲食,食欲低落。,3
3614,全身消瘦,全身消瘦。,4
3615,面色晦暗無光澤,面色暗。,7
3616,身熱而赤,發熱。,4
3617,胸中煩悶,胸悶。,4
3618,便秘，數日一行,大便次少。,7
3619,便秘，數日一行,大便質硬。,7
3620,全身無力,四肢無力。,4
3621,虛羸少氣,全身消瘦。,4
3622,虛羸少氣,呼吸微弱。,4
3623,懶言消瘦,意識懶言。,4
3624,懶言消瘦,全身消瘦。,4
3625,四肢懈惰,四肢無力。,4
3626,胸悶而憋,胸悶。,4
3627,胸悶而憋,呼吸不暢。,4
3628,氣短呼吸微弱,呼吸微弱。,6
3629,雙眼瞼下垂,眼瞼下垂。,5
3630,精神欠佳,情緒神疲。,4
3631,兩目無神,目散。,4
3632,肌肉萎縮，四肢不能自行活動,四肢萎縮。,13
3633,足不能行,步態不穩。,4
3634,神情憂鬱,情緒憂鬱。,4
3635,無氣以動,呼吸微弱。,4
3636,無氣以動,四肢無力。,4
3637,百骸解散,四肢無力。,4
3638,大便溏軟,大便質稀。,4
3639,氣短乏力,呼吸微弱。,4
3640,氣短乏力,四肢無力。,4
3641,腹部飽脹,腹脹。,4
3642,脘腹隱痛時作，按之舒適,胃痛。,11
3643,脘腹隱痛時作，按之舒適,腹痛。,11
3644,食後脹加重,食後腹脹。,5
3645,下腹墜脹,下腹墜脹。,4
3646,肛門作墜,肛門墜脹。,4
3647,中脘痞脹,胃脹。,4
3648,中脘痞結，按之空虛,胃脹。,9
3649,納後痞滿加重,食後腹脹。,6
3650,噁心嘔吐，味酸苦,噁心。,8
3651,噁心嘔吐，味酸苦,嘔吐。,8
3652,噁心嘔吐，味酸苦,泛酸。,8
3653,食入不久即吐,嘔吐。,6
3654,噯氣頻頻,噯氣。,4
3655,泛酸水,泛酸。,3
3656,呃逆頻作,呃逆。,4
3657,嘔吐呈噴射狀,嘔吐。,6
3658,體形消瘦,全身消瘦。,4
3659,不知飢飽,食欲低落。,4
3660,食納呆,食欲低落。,3
3661,語言不清,情緒聲弱。,4
3662,瀉下物乳白色水樣便,大便色白。,9
3663,瀉下物乳白色水樣便,大便質稀。,9
3664,連連咳吐不竭,咳吐。,6
3665,冷涎垂流，終日不絕,口角流涎。,9
3666,帶下連綿，色白清稀，量多,白帶色清。,12
3667,帶下連綿，色白清稀，量多,白帶質稀。,12
3668,帶下連綿，色白清稀，量多,白帶量多。,12
3669,腹膨而軟,腹脹。,4
3670,積少痛緩,腹痛大便後減輕。,4
3671,嘔惡不食,噁心。,4
3672,嘔惡不食,嘔吐。,4
3673,嘔惡不食,食欲低落。,4
3674,食不下嚥,吞嚥不暢。,4
3675,語言錯亂,意識譫語。,4
3676,全身乏力,四肢無力。,4
3677,大便軟薄,大便質稀。,4
3678,糞便外有血性黏液,大便挾黏液。,8
3679,糞便外有血性黏液,大便挾血。,8
3680,便前腸鳴而痛,腹鳴。,6
3681,便前腸鳴而痛,腹痛。,6
3682,全身可見大小不等紫斑,皮膚紫斑。,10
3683,齒齦時有出血,牙齦出血。,6
3684,紫癜以下肢較多，壓不褪色,下肢紫斑。,12
3685,精神較差,情緒神疲。,4
3686,下利不止，日數十行,大便次多。,9
3687,下利不止，日數十行,大便質稀。,9
3688,完谷不化,大便挾食物。,4
3689,勞則大便下血，色鮮紅,大便挾血。,10
3690,溏泄綿纏,大便質稀。,4
3691,氣虧色白,呼吸微弱。,4
3692,氣虧色白,面色白。,4
3693,瞑目小安,目瞑。,4
3694,匙水下嚥，須臾泄去,大便次多。,9
3695,匙水下嚥，須臾泄去,大便質稀。,9
3696,驚悸，動則益甚,情緒心驚。,7
3697,面白，蒼黃,面色白。,5
3698,面白，蒼黃,面色黃。,5
3699,少氣倦怠乏力,呼吸微弱。,6
3700,少氣倦怠乏力,情緒神疲。,6
3701,少氣倦怠乏力,四肢無力。,6
3702,頭眩眼花,頭暈。,4
3703,頭眩眼花,目花。,4
3704,心慌胸悶短氣,情緒心慌。,6
3705,心慌胸悶短氣,胸悶。,6
3706,心慌胸悶短氣,呼吸微弱。,6
3707,月經前期,月經先期。,4
3708,經少帶下多,月經量少。,5
3709,經少帶下多,白帶量多。,5
3710,食少腹脹,食欲低落。,4
3711,食少腹脹,腹脹。,4
3712,氣短，動作則劇,呼吸微弱。,7
3713,經期長,月經經期過長。,3
3714,大便時乾時稀,大便質稀。,6
3715,大便時乾時稀,大便質硬。,6
3716,身畏熱,惡熱。,3
3717,行經時大便溏瀉,月經大便次多。,7
3718,行經時大便溏瀉,月經大便質稀。,7
3719,飱泄不化水液泡沫,大便挾食物。,8
3720,飱泄不化水液泡沫,大便質稀。,8
3721,飱泄不化水液泡沫,大便次多。,8
3722,腰痛遺泄,腰痛。,4
3723,腰痛遺泄,遺精。,4
3724,一身疼,全身痛。,3
3725,七指甲下出血，按壓無疼痛，可見甲下血水擠動,指甲下出血。,21
3726,九竅流血,口出血。,4
3727,九竅流血,耳內出血。,4
3728,九竅流血,鼻衄。,4
3729,二便自遺,大便失禁。,4
3730,二便自遺,小便失禁。,4
3731,入夜易醒或徹夜不眠,易醒。,9
3732,入夜易醒或徹夜不眠,難眠。,9
3733,上腹脹,胃脹。,3
3734,下午則面赤,面色紅。,5
3735,下午後下肢浮腫,下肢浮腫。,7
3736,下血,大便挾血。,2
3737,下血如屋漏陳腐,大便挾血。,7
3738,下利,大便次多。,2
3739,下利,大便質稀。,2
3740,下身墮結,少腹墜脹。,4
3741,下夜胸似重物所壓，陰雨天尤甚,胸悶。,14
3742,下肢冷微腫,下肢冷。,5
3743,下肢冷微腫,下肢浮腫。,5
3744,下肢時抽,下肢抽搐。,4
3745,下肢浮腫，軟弱無力,下肢浮腫。,9
3746,下肢浮腫，軟弱無力,下肢無力。,9
3747,下肢紫瘢,下肢紫斑。,4
3748,下肢微腫,下肢浮腫。,4
3749,下痢清血,大便次多。,4
3750,下痢清血,大便挾血。,4
3751,下痢清血,大便質稀。,4
3752,下腹脹痛,腹痛。,4
3753,下腹脹痛,腹脹。,4
3754,下腹墜痛,下腹墜脹。,4
3755,下腹墜痛,腹痛。,4
3756,下瀉上喘,大便次多。,4
3757,下瀉上喘,大便質稀。,4
3758,下瀉上喘,呼吸急促。,4
3759,久咳,久咳。,2
3760,久熱不退，體溫忽高忽低,發熱。,11
3761,口中不欲飲,渴不欲飲。,5
3762,口舌糜碎,口瘡。,4
3763,口更大渴,口渴。,4
3764,口流涎沫,口角流涎。,4
3765,口苦，有臭味,口苦。,6
3766,口苦，有臭味,口臭。,6
3767,口苦口乾但欲漱水,口苦。,8
3768,口苦口乾但欲漱水,口乾。,8
3769,口苦口乾但欲漱水,飲不下嚥。,8
3770,口唇指甲紫紺,指甲色紫。,6
3771,口唇指甲紫紺,唇色紫。,6
3772,口唇焦燥,口乾。,4
3773,口唇焦燥,唇乾。,4
3774,口乾不思飲,口乾。,5
3775,口乾不思飲,渴而少飲。,5
3776,口乾不欲飲水,口乾。,6
3777,口乾不欲飲水,渴不欲飲。,6
3778,口乾不適,口乾。,4
3779,口乾而不欲飲,口乾。,6
3780,口乾而不欲飲,渴不欲飲。,6
3781,口乾苦,口苦。,3
3782,口乾苦,口乾。,3
3783,口乾唇紅,口乾。,4
3784,口乾唇紅,唇色紅。,4
3785,口乾喜冷,口乾。,4
3786,口乾喜冷,渴喜冷飲。,4
3787,口乾喜冷飲,口乾。,5
3788,口乾喜冷飲,渴喜冷飲。,5
3789,口乾溲黃,口乾。,4
3790,口乾溲黃,小便色黃。,4
3791,口淡乏味,口淡。,4
3792,口淡而乾,口乾。,4
3793,口淡而乾,口淡。,4
3794,口淡胃納不適,口淡。,6
3795,口淡胃納不適,食欲低落。,6
3796,口淡納差,口淡。,4
3797,口淡納差,食欲低落。,4
3798,口渦咽乾,口乾。,4
3799,口渦咽乾,喉乾。,4
3800,口渴少飲,口渴。,4
3801,口渴少飲,渴而少飲。,4
3802,口渴思飲,口渴。,4
3803,口渴喜熱飲,口渴。,5
3804,口渴喜熱飲,渴喜熱飲。,5
3805,口渴盜汗,口渴。,4
3806,口渴盜汗,盜汗。,4
3807,口渴飲引，晝夜不休,口渴。,9
3808,口渴飲水甚多,口渴。,6
3809,口開眼合,目瞑。,4
3810,口噤不開,口噤。,4
3811,口噤不語,口噤。,4
3812,口噤不語,情緒寡言。,4
3813,口噤目閉,口噤。,4
3814,口噤目閉,目瞑。,4
3815,口燥津乾,口乾。,4
3816,口燥津乾,涎量少。,4
3817,大吐大崩,月經量多。,4
3818,大吐大崩,嘔吐。,4
3819,大汗(冷)淋漓,大汗。,7
3820,大汗(冷)淋漓,冷汗。,7
3821,大汗不止,大汗。,4
3822,大汗出,大汗。,3
3823,大汗淋漓,大汗。,4
3824,大便不,大便不暢。,3
3825,大便不解,大便次少。,4
3826,大便色綠,大便色綠。,4
3827,大便則脫肛,脫肛。,5
3828,大便乾,大便質硬。,3
3829,大便乾結如彈丸,大便質硬。,7
3830,大便偶見黑紅色,大便色紅。,7
3831,大便偶見黑紅色,大便色黑。,7
3832,大便堅澀,大便質硬。,4
3833,大便結,大便次少。,3
3834,大便結,大便質硬。,3
3835,大便黑褐色,大便色黑。,5
3836,大便溏,大便質稀。,3
3837,大便溏泄或五更泄瀉,大便次多。,9
3838,大便溏泄或五更泄瀉,大便質稀。,9
3839,大便溏瀉褐色,大便色黃。,6
3840,大便溏瀉褐色,大便質稀。,6
3841,大便經常燥結,大便質硬。,6
3842,大便頻頻，前後急迫,大便次多。,9
3843,大便頻頻，前後急迫,大便急迫。,9
3844,大便燥結,大便質硬。,4
3845,大便黯黑如柏油,大便色黑。,7
3846,子前午後熱甚,午後發熱。,6
3847,小水不清,小便挾乳糜。,4
3848,小有勞則寒熱亦熾,寒熱往來。,8
3849,小兒顱縫分裂，前囟擴大,囟門遲閉。,11
3850,小便不禁,小便失禁。,4
3851,小便少,小便次少。,3
3852,小便白濁，凝結如脂，動後較甚,小便色白。,14
3853,小便白濁，凝結如脂，動後較甚,小便挾乳糜。,14
3854,小便淋漓不絕,小便不盡。,6
3855,小便淋漓不禁,小便不盡。,6
3856,小便淋漓不禁,小便失禁。,6
3857,小便淋漓不盡，且夜尿更著,小便不盡。,12
3858,小便淋漓不盡，且夜尿更著,夜時小便次多。,12
3859,小便短而赤甚,小便色紅。,6
3860,小便短而赤甚,小便量少。,6
3861,小便短頻,小便次多。,4
3862,小便短頻,小便量少。,4
3863,小便短澀，短少,小便不暢。,7
3864,小便短澀，短少,小便次少。,7
3865,小便短澀，短少,小便量少。,7
3866,小便微黃,小便色黃。,4
3867,小便頻多,小便次多。,4
3868,小便頻多,小便量多。,4
3869,小便頻多，浮如膏脂,小便次多。,9
3870,小便頻數，色淡黃,小便次多。,8
3871,小便頻數，色淡黃,小便色黃。,8
3872,小便頻數而長,小便次多。,6
3873,小便頻數而長,小便量多。,6
3874,小便頻數而長，多泡沫，嗅之有酸味感,小便次多。,17
3875,小便頻數而長，多泡沫，嗅之有酸味感,小便量多。,17
3876,小便頻頻失禁,小便失禁。,6
3877,小勞即發，得微汗即解,少汗。,10
3878,小溲黃赤,小便色紅。,4
3879,小溲黃赤,小便色黃。,4
3880,小溲勤解,小便次多。,4
3881,小腹空墜,小腹墜脹。,4
3882,小腹重墜,小腹墜脹。,4
3883,小腹會陰墜痛,小腹墜脹。,6
3884,小腹會陰墜痛,陰道痛。,6
3885,小腹煩冤,小腹脹。,4
3886,小腹劇痛,小腹痛。,4
3887,小腹墜脹,小腹墜脹。,4
3888,小腹墜滯,小腹墜脹。,4
3889,不思食，得食則滿,食欲低落。,8
3890,不省人事,意識昏迷。,4
3891,不時咳嗽,咳嗽。,4
3892,不眠,難眠。,2
3893,不能臥,難臥。,3
3894,不能耐勞,意識懶動。,4
3895,不得太息,呼吸微弱。,4
3896,不寐驚煩,情緒心驚。,4
3897,不寐驚煩,情緒煩躁。,4
3898,不寐驚煩,難眠。,4
3899,不飲不食,食欲低落。,4
3900,中脘不舒,胃悶。,4
3901,五心亦燒不退,手足心熱。,6
3902,內熱便泄,大便次多。,4
3903,內熱便泄,大便質稀。,4
3904,內熱便泄,發熱。,4
3905,內熱頭痛,發熱。,4
3906,內熱頭痛,頭痛。,4
3907,午後下夜發熱,午後發熱。,6
3908,午後面部潮熱,潮熱。,6
3909,午後略有潮熱,潮熱。,6
3910,午後發熱較高,午後發熱。,6
3911,午後微熱,低熱。,4
3912,午後憎寒,惡寒。,4
3913,午後頭痛,頭痛。,4
3914,反復大量出血，血流未止,月經不止。,11
3915,反復大量出血，血流未止,月經量多。,11
3916,反復咯血，狂溢不止,咳血。,9
3917,反應和動作遲鈍,意識呆滯。,7
3918,少力,四肢無力。,2
3919,少氣不足以息,呼吸微弱。,6
3920,少眠多夢,多夢。,4
3921,少眠多夢,難眠。,4
3922,少寐心悸,心悸。,4
3923,少寐心悸,難眠。,4
3924,少腹痛,少腹痛。,3
3925,少腹微疼,少腹痛。,4
3926,少腹感涼,少腹冷。,4
3927,少腹墜脹,少腹墜脹。,4
3928,尤以每日下午疲憊殊甚,情緒神疲。,10
3929,尤其以陰雨天氣壓低，胸悶更甚,胸悶。,14
3930,心中悸而煩,心悸。,5
3931,心中悸而煩,情緒煩躁。,5
3932,心中懊憹,意識煩躁。,4
3933,心前區痛,心痛。,4
3934,心神不安,情緒心慌。,4
3935,心神煩躁,情緒煩躁。,4
3936,心悸，發時心跳應衣,心悸。,9
3937,心悸不安,心悸。,4
3938,心悸不安,情緒心慌。,4
3939,心悸不寧,心悸。,4
3940,心悸不寧,情緒心慌。,4
3941,心悸少寐,心悸。,4
3942,心悸少寐,難眠。,4
3943,心悸心慌,心悸。,4
3944,心悸心慌,情緒心慌。,4
3945,心悸肉跳,心悸。,4
3946,心悸肉跳,肉顫。,4
3947,心悸肉瞤,心悸。,4
3948,心悸肉瞤,肉顫。,4
3949,心悸慌亂,心悸。,4
3950,心悸慌亂,情緒心慌。,4
3951,心悸頭眩,心悸。,4
3952,心悸頭眩,頭暈。,4
3953,心悸驚惕,心悸。,4
3954,心悸驚惕,情緒心驚。,4
3955,心絞痛頻發,心痛。,5
3956,心慌心煩少眠,情緒心慌。,6
3957,心慌心煩少眠,情緒煩躁。,6
3958,心慌心煩少眠,難眠。,6
3959,心慌心跳心悸,心悸。,6
3960,心慌心跳心悸,情緒心慌。,6
3961,心慌頭暈,情緒心慌。,4
3962,心慌頭暈,頭暈。,4
3963,心煩不眠,情緒煩躁。,4
3964,心煩不眠,難眠。,4
3965,心煩少言,情緒煩躁。,4
3966,心煩少言,情緒寡言。,4
3967,心煩心降,情緒煩躁。,4
3968,心煩失眠,情緒煩躁。,4
3969,心煩失眠,難眠。,4
3970,心煩易怒，情緒容易激動，不能控制,情緒煩躁。,16
3971,心煩易怒，情緒容易激動，不能控制,情緒憤怒。,16
3972,心煩易醒,易醒。,4
3973,心煩易醒,情緒煩躁。,4
3974,心煩氣促,呼吸急促。,4
3975,心煩氣促,情緒煩躁。,4
3976,心煩眠差,情緒煩躁。,4
3977,心煩眠差,難眠。,4
3978,心煩驚悸,情緒心驚。,4
3979,心煩驚悸,情緒煩躁。,4
3980,心跳氣短,呼吸微弱。,4
3981,心憂然煩悶,情緒煩躁。,5
3982,心憂然煩悶,情緒憂鬱。,5
3983,心顫神攝,情緒心驚。,4
3984,心驚動跳,情緒心驚。,4
3985,手不能握,四肢拘急。,4
3986,手足抽掣,四肢抽搐。,4
3987,手足陰囊紫癜，輕度瘙癢,四肢紫斑。,11
3988,手足厥熱,四肢熱。,4
3989,手足無力,四肢無力。,4
3990,手足搐溺,四肢抽搐。,4
3991,手足攣攝,四肢拘急。,4
3992,手指固握,四肢拘急。,4
3993,手指麻木,手指麻木。,4
3994,手撤肢冷,四肢冷。,4
3995,手撒遺尿,遺尿。,4
3996,手顫,手顫。,2
3997,日益羸瘦,全身消瘦。,4
3998,月汛愆期量少,月經後期。,6
3999,月汛愆期量少,月經量少。,6
4000,月事數月不至,月經後期。,6
4001,月經色淡,月經色淡紅。,4
4002,月經初期，腹痛甚劇,月經腹痛。,9
4003,月經前面足跗浮腫作脹，甚則遍體皆腫,全身浮腫。,17
4004,月經前面足跗浮腫作脹，甚則遍體皆腫,足背浮腫。,17
4005,月經前面足跗浮腫作脹，甚則遍體皆腫,面浮腫。,17
4006,月經量少色淡,月經色淡紅。,6
4007,月經量少色淡,月經量少。,6
4008,月經量多，色暗有塊,月經色黑。,9
4009,月經量多，色暗有塊,月經挾塊。,9
4010,月經量多，色暗有塊,月經量多。,9
4011,月經量較多,月經量多。,5
4012,月經澀少，甚至一現輒淨,月經量少。,11
4013,月經澀少，甚至一現輒淨,月經經期過短。,11
4014,月經趲早，量多色鮮紅，滴瀝不斷，淋漓不盡,月經不止。,20
4015,月經趲早，量多色鮮紅，滴瀝不斷，淋漓不盡,月經先期。,20
4016,月經趲早，量多色鮮紅，滴瀝不斷，淋漓不盡,月經色紅。,20
4017,牙齦極易出血,牙齦出血。,6
4018,出血色淡,月經色淡紅。,4
4019,右下肢不仁,下肢麻木。,5
4020,右手麻木,右手麻。,4
4021,右脅肋隱痛,右脅痛。,5
4022,右脅痛,右脅痛。,3
4023,四末不溫,四肢冷。,4
4024,四肢不能移動,四肢無力。,6
4025,四肢冰冷,四肢冷。,4
4026,四肢沉滯,四肢重。,4
4027,四肢拘緊現象,四肢拘急。,6
4028,四肢肢端麻木疼痛,四肢麻木。,8
4029,四肢肢端麻木疼痛,四肢痛。,8
4030,四肢俱腫,四肢浮腫。,4
4031,四肢疲乏,四肢無力。,4
4032,四肢酸疼,四肢痛。,4
4033,四肢酸疼,四肢酸。,4
4034,四肢酸軟無力,四肢無力。,6
4035,四肢酸軟無力,四肢酸。,6
4036,左下肢麻木,下肢麻木。,5
4037,左不遂,左半身偏癱。,3
4038,左手足筋絡不舒，僵直莫能動，動則欲死,四肢強直。,18
4039,左手足筋絡不舒，僵直莫能動，動則欲死,四肢僵硬。,18
4040,左胸脅痛，有時刺痛,脅痛。,9
4041,左胸脅痛，有時刺痛,胸痛。,9
4042,白帶多如水樣,白帶量多。,6
4043,白帶多如水樣,白帶質稀。,6
4044,白帶如水，綿綿,白帶量多。,7
4045,白帶如水，綿綿,白帶質稀。,7
4046,白帶甚多,白帶量多。,4
4047,白帶甚多小腹空墜,小腹墜脹。,8
4048,白帶甚多小腹空墜,白帶量多。,8
4049,白睛暴露,張目。,4
4050,白濁自流,小便色白。,4
4051,白浊,小便色白。,2
4052,皮內發熱,發熱。,4
4053,皮枯肉臘,皮膚乾。,4
4054,皮膚乾燥,皮膚乾。,4
4055,皮膚乾燥多屑,皮膚乾。,6
4056,皮膚發斑，灼熱疼痛,皮膚生斑。,9
4057,皮膚發斑，灼熱疼痛,全身痛。,9
4058,皮膚發斑，灼熱疼痛,發熱。,9
4059,皮膚紫癜反復,皮膚紫斑。,6
4060,皮膚紫癜反覆，斑疹如米粟，斑點暗淡,皮膚生疹。,17
4061,皮膚紫癜反覆，斑疹如米粟，斑點暗淡,皮膚生斑。,17
4062,皮膚紫癜反覆，斑疹如米粟，斑點暗淡,皮膚紫斑。,17
4063,目光昏暗無神,意識恍惚。,6
4064,目合口開,目瞑。,4
4065,目合神昏,目瞑。,4
4066,目合神昏,意識昏迷。,4
4067,目盲,目暗。,2
4068,目眩暈耳鳴,目眩。,5
4069,目眩暈耳鳴,耳鳴。,5
4070,目眩暈耳鳴,頭暈。,5
4071,目眩頭暈,目眩。,4
4072,目眩頭暈,頭暈。,4
4073,目乾澀，昏花,目花。,6
4074,目乾澀，昏花,目乾。,6
4075,目無所見,目暗。,4
4076,目無神采,情緒神疲。,4
4077,矢氣頻頻,矢氣量多。,4
4078,交午寒熱,寒熱往來。,4
4079,交陰分內熱口渴,口渴。,7
4080,交陰分內熱口渴,發熱。,7
4081,交睫鄭聲,意識譫語。,4
4082,亦有喜冷飲者，惟飲不必多,渴而少飲。,12
4083,亦有喜冷飲者，惟飲不必多,渴喜冷飲。,12
4084,先兆流產月經先期而至,月經先期。,10
4085,先兆流產月經先期而至,妊娠流產。,10
4086,全身肌肉張力極差，無力,四肢無力。,11
4087,全身性散在性紫斑,皮膚紫斑。,8
4088,全身疲乏無力,四肢無力。,6
4089,全身疲乏無力,情緒神疲。,6
4090,全身骨節酸重,全身重。,6
4091,全身骨節酸重,全身酸。,6
4092,全身發抖,身顫。,4
4093,合目即汗,目瞑。,4
4094,合目即汗,自汗。,4
4095,吐血咯血不止,吐血。,6
4096,吐血咯血不止,咳血。,6
4097,吐痰甚多,痰量多。,4
4098,吐瀉不止,大便次多。,4
4099,吐瀉不止,嘔吐。,4
4100,因於驚恐而輒自遺尿,情緒恐懼。,9
4101,因於驚恐而輒自遺尿,情緒心驚。,9
4102,因於驚恐而輒自遺尿,遺尿。,9
4103,多汗神倦,大汗。,4
4104,多汗神倦,情緒神疲。,4
4105,多汗體倦,大汗。,4
4106,多汗體倦,情緒神疲。,4
4107,多食,食欲亢進。,2
4108,多飲,口渴。,2
4109,多飲多食,食欲亢進。,4
4110,多夢易驚,情緒心驚。,4
4111,多夢易驚,多夢。,4
4112,多夢紛紜,多夢。,4
4113,妄語,意識譫語。,2
4114,早泄滑精,早洩。,4
4115,早泄滑精,遺精。,4
4116,有下墜感,下腹墜脹。,4
4117,有時幾欲顛仆,意識昏迷。,6
4118,有蟻行感,皮膚癢。,4
4119,汗出不止,自汗。,4
4120,汗出如油,汗質黏。,4
4121,汗出如油,自汗。,4
4122,汗出如淋,大汗。,4
4123,汗出如淋，尤以入夜為甚,大汗。,11
4124,汗出如淋，尤以入夜為甚,自汗。,11
4125,汗出泛惡,自汗。,4
4126,汗出泛惡,噁心。,4
4127,汗出咳嗽,自汗。,4
4128,汗出咳嗽,咳嗽。,4
4129,汗出津津,大汗。,4
4130,汗出氣短,自汗。,4
4131,汗出氣短,呼吸微弱。,4
4132,汗出頭昏,自汗。,4
4133,汗出頭昏,頭昏。,4
4134,汗多，三日一發,大汗。,7
4135,汗多肢溫,大汗。,4
4136,汗多肢溫,四肢熱。,4
4137,汗多惡寒,大汗。,4
4138,汗多惡寒,惡寒。,4
4139,汗後惡風益甚,惡風。,6
4140,汛行量少色淡,月經色淡紅。,6
4141,汛行量少色淡,月經量少。,6
4142,耳無所聞,耳聾。,4
4143,耳鳴失眠,耳鳴。,4
