,詞,長度,標準症狀,備註,包含
1897,脈弱澀稍數,5,脈力度弱。脈利度澀。脈幅異常。脈速度快。,脈診,
1898,脈弱稍緊滑,5,脈力度弱。脈緊度緊。脈利度滑。,脈診,
1899,脈沉弦滑細,5,脈部位沉。脈緊度緊。脈長度長。脈利度滑。脈寬度細。,脈診,
1900,脈弦細滑數,5,脈緊度緊。脈長度長。脈寬度細。脈利度滑。脈速度快。,脈診,
1901,脈弦細滑滑,5,脈緊度緊。脈長度長。脈寬度細。脈利度滑。脈利度滑。,脈診,
1902,脈弱弱澀弱,5,脈力度弱。脈力度弱。脈利度澀。脈幅異常。脈力度弱。,脈診,
1903,脈弦細滑濡,5,脈緊度緊。脈長度長。脈寬度細。脈利度滑。脈部位浮。脈力度弱。脈寬度細。,脈診,
1904,脈弦細長緩,5,脈緊度緊。脈長度長。脈寬度細。脈長度長。脈速度慢。,脈診,
1905,脈浮弦滑短,5,脈部位浮。脈緊度緊。脈長度長。脈利度滑。脈長度短。,脈診,
1906,脈弦細長遲,5,脈緊度緊。脈長度長。脈寬度細。脈長度長。脈速度慢。,脈診,
1907,脈弦緊微數,5,脈緊度緊。脈長度長。脈緊度緊。脈寬度細。脈力度弱。脈速度快。,脈診,
1908,脈弦緊數沉,5,脈緊度緊。脈長度長。脈緊度緊。脈速度快。脈部位沉。,脈診,
1909,脈弦緊沉弱,5,脈緊度緊。脈長度長。脈緊度緊。脈部位沉。脈力度弱。,脈診,
1910,脈弦緊滑數,5,脈緊度緊。脈長度長。脈緊度緊。脈利度滑。脈速度快。,脈診,
1911,脈弦緊澀緩,5,脈緊度緊。脈長度長。脈緊度緊。脈利度澀。脈幅異常。脈速度慢。,脈診,
1912,脈弦緊稍數,5,脈緊度緊。脈長度長。脈緊度緊。脈速度快。,脈診,
1913,脈弦緊稍沉,5,脈緊度緊。脈長度長。脈緊度緊。脈部位沉。,脈診,
1914,脈弱滑有弱,5,脈力度弱。脈利度滑。脈力度弱。,脈診,
1915,脈弱滑有弦,5,脈力度弱。脈利度滑。脈緊度緊。脈長度長。,脈診,
1916,脈弱滑弱滑,5,脈力度弱。脈利度滑。脈力度弱。脈利度滑。,脈診,
1917,脈弱弱滑弱,5,脈力度弱。脈力度弱。脈利度滑。脈力度弱。,脈診,
1918,脈弱滑弱數,5,脈力度弱。脈利度滑。脈力度弱。脈速度快。,脈診,
1919,脈弱滑稍數,5,脈力度弱。脈利度滑。脈速度快。,脈診,
1920,脈弱滑稍弱,5,脈力度弱。脈利度滑。脈力度弱。,脈診,
1921,脈弱滑稍弦,5,脈力度弱。脈利度滑。脈緊度緊。脈長度長。,脈診,
1922,脈弱滑澀滑,5,脈力度弱。脈利度滑。脈利度澀。脈幅異常。脈利度滑。,脈診,
1923,脈弦細澀弱,5,脈緊度緊。脈長度長。脈寬度細。脈利度澀。脈幅異常。脈力度弱。,脈診,
1924,脈弦細短數,5,脈緊度緊。脈長度長。脈寬度細。脈長度短。脈速度快。,脈診,
1925,脈弦細澀緩,5,脈緊度緊。脈長度長。脈寬度細。脈利度澀。脈幅異常。脈速度慢。,脈診,
1926,脈弦細澀緊,5,脈緊度緊。脈長度長。脈寬度細。脈利度澀。脈幅異常。脈緊度緊。,脈診,
1927,脈弦細澀滑,5,脈緊度緊。脈長度長。脈寬度細。脈利度澀。脈幅異常。脈利度滑。,脈診,
1928,脈弦細澀數,5,脈緊度緊。脈長度長。脈寬度細。脈利度澀。脈幅異常。脈速度快。,脈診,
1929,脈弦細澀微,5,脈緊度緊。脈長度長。脈寬度細。脈利度澀。脈幅異常。脈寬度細。脈力度弱。,脈診,
1930,脈弦細滑長,5,脈緊度緊。脈長度長。脈寬度細。脈利度滑。脈長度長。,脈診,
1931,脈弦稍細緩,5,脈緊度緊。脈長度長。脈寬度細。脈速度慢。,脈診,
1932,脈滑弱稍弦,5,脈利度滑。脈力度弱。脈緊度緊。脈長度長。,脈診,
1933,脈弦細有動,5,脈緊度緊。脈長度長。脈寬度細。脈速度快。脈力度強。脈利度滑。脈長度短。,脈診,
1934,脈弦細滑短,5,脈緊度緊。脈長度長。脈寬度細。脈利度滑。脈長度短。,脈診,
1935,脈弦細長數,5,脈緊度緊。脈長度長。脈寬度細。脈長度長。脈速度快。,脈診,
1936,脈弦細滑弱,5,脈緊度緊。脈長度長。脈寬度細。脈利度滑。脈力度弱。,脈診,
1937,脈弦細短滑,5,脈緊度緊。脈長度長。脈寬度細。脈長度短。脈利度滑。,脈診,
1938,脈弦細短緊,5,脈緊度緊。脈長度長。脈寬度細。脈長度短。脈緊度緊。,脈診,
1939,脈弦細稍弦,5,脈緊度緊。脈長度長。脈寬度細。脈緊度緊。脈長度長。,脈診,
1940,脈弦細稍弱,5,脈緊度緊。脈長度長。脈寬度細。脈力度弱。,脈診,
1941,脈弦細稍數,5,脈緊度緊。脈長度長。脈寬度細。脈速度快。,脈診,
1942,脈弦細稍沉,5,脈緊度緊。脈長度長。脈寬度細。脈部位沉。,脈診,
1943,脈弦細稍浮,5,脈緊度緊。脈長度長。脈寬度細。脈部位浮。,脈診,
1944,脈弦細稍滑,5,脈緊度緊。脈長度長。脈寬度細。脈利度滑。,脈診,
1945,脈弦細滑細,5,脈緊度緊。脈長度長。脈寬度細。脈利度滑。脈寬度細。,脈診,
1946,脈滑弱滑數,5,脈利度滑。脈力度弱。脈利度滑。脈速度快。,脈診,
1947,脈弦細弱澀,5,脈緊度緊。脈長度長。脈寬度細。脈力度弱。脈利度澀。脈幅異常。,脈診,
1948,脈弦細微弱,5,脈緊度緊。脈長度長。脈寬度細。脈寬度細。脈力度弱。脈力度弱。,脈診,
1949,脈弱滑滑數,5,脈力度弱。脈利度滑。脈利度滑。脈速度快。,脈診,
1950,脈數滑稍散,5,脈速度快。脈利度滑。脈緊度散。,脈診,
1951,兩指微僵硬,5,？。,新,_
1952,脈數微細弦,5,脈速度快。脈寬度細。脈力度弱。脈寬度細。脈緊度緊。脈長度長。,脈診,
1953,脈弦滑浮數,5,脈緊度緊。脈長度長。脈利度滑。脈部位浮。脈速度快。,脈診,
1954,脈弦滑數微,5,脈緊度緊。脈長度長。脈利度滑。脈速度快。脈寬度細。脈力度弱。,脈診,
1955,脈弦滑數沉,5,脈緊度緊。脈長度長。脈利度滑。脈速度快。脈部位沉。,脈診,
1956,脈弦滑數細,5,脈緊度緊。脈長度長。脈利度滑。脈速度快。脈寬度細。,脈診,
1957,脈弦滑數結,5,脈緊度緊。脈長度長。脈利度滑。脈速度快。脈速度慢。脈止率亂。,脈診,
1958,脈弦滑數緊,5,脈緊度緊。脈長度長。脈利度滑。脈速度快。脈緊度緊。,脈診,
1959,脈弦滑有促,5,脈緊度緊。脈長度長。脈利度滑。脈速度快。脈止率亂。,脈診,
1960,脈弦滑沉弱,5,脈緊度緊。脈長度長。脈利度滑。脈部位沉。脈力度弱。,脈診,
1961,脈弦滑沉數,5,脈緊度緊。脈長度長。脈利度滑。脈部位沉。脈速度快。,脈診,
1962,脈弦滑沉細,5,脈緊度緊。脈長度長。脈利度滑。脈部位沉。脈寬度細。,脈診,
1963,脈弱稍弦細,5,脈力度弱。脈緊度緊。脈長度長。脈寬度細。,脈診,
1964,脈弦浮微數,5,脈緊度緊。脈長度長。脈部位浮。脈寬度細。脈力度弱。脈速度快。,脈診,
1965,脈沉滑稍弱,5,脈部位沉。脈利度滑。脈力度弱。,脈診,
1966,脈沉滑稍弦,5,脈部位沉。脈利度滑。脈緊度緊。脈長度長。,脈診,
1967,脈弦沉稍數,5,脈緊度緊。脈長度長。脈部位沉。脈速度快。,脈診,
1968,脈沉滑濡弱,5,脈部位沉。脈利度滑。脈部位浮。脈力度弱。脈寬度細。脈力度弱。,脈診,
1969,脈弦弱稍緊,5,脈緊度緊。脈長度長。脈力度弱。脈緊度緊。,脈診,
1970,脈弦微數微,5,脈緊度緊。脈長度長。脈寬度細。脈力度弱。脈速度快。脈寬度細。脈力度弱。,脈診,
1971,脈弦微浮弱,5,脈緊度緊。脈長度長。脈寬度細。脈力度弱。脈部位浮。脈力度弱。,脈診,
1972,脈浮弦滑動,5,脈部位浮。脈緊度緊。脈長度長。脈利度滑。脈速度快。脈力度強。脈利度滑。脈長度短。,脈診,
1973,脈弦弱稍細,5,脈緊度緊。脈長度長。脈力度弱。脈寬度細。,脈診,
1974,脈弦沉細數,5,脈緊度緊。脈長度長。脈部位沉。脈寬度細。脈速度快。,脈診,
1975,脈弦沉細緩,5,脈緊度緊。脈長度長。脈部位沉。脈寬度細。脈速度慢。,脈診,
1976,脈弦洪稍大,5,脈緊度緊。脈長度長。脈寬度寬。脈寬度寬。,脈診,
1977,脈弦洪稍滑,5,脈緊度緊。脈長度長。脈寬度寬。脈利度滑。,脈診,
1978,脈弦緩浮細,5,脈緊度緊。脈長度長。脈速度慢。脈部位浮。脈寬度細。,脈診,
1979,脈弦緩稍弱,5,脈緊度緊。脈長度長。脈速度慢。脈力度弱。,脈診,
1980,脈弱弱沉弱,5,脈力度弱。脈力度弱。脈部位沉。脈力度弱。,脈診,
1981,脈弦緩稍滑,5,脈緊度緊。脈長度長。脈速度慢。脈利度滑。,脈診,
1982,脈弦滑數大,5,脈緊度緊。脈長度長。脈利度滑。脈速度快。脈寬度寬。,脈診,
1983,脈弦滑數動,5,脈緊度緊。脈長度長。脈利度滑。脈速度快。脈速度快。脈力度強。脈利度滑。脈長度短。,脈診,
1984,脈弦滑微緩,5,脈緊度緊。脈長度長。脈利度滑。脈寬度細。脈力度弱。脈速度慢。,脈診,
1985,脈弦滑微緊,5,脈緊度緊。脈長度長。脈利度滑。脈寬度細。脈力度弱。脈緊度緊。,脈診,
1986,脈沉滑數弱,5,脈部位沉。脈利度滑。脈速度快。脈力度弱。,脈診,
1987,脈沉滑散大,5,脈部位沉。脈利度滑。脈緊度散。脈寬度寬。,脈診,
1988,脈沉滑弱數,5,脈部位沉。脈利度滑。脈力度弱。脈速度快。,脈診,
1989,脈沉濡細數,5,脈部位沉。脈部位浮。脈力度弱。脈寬度細。脈寬度細。脈速度快。,脈診,
1990,脈沉滑細數,5,脈部位沉。脈利度滑。脈寬度細。脈速度快。,脈診,
1991,脈沉滑弱微,5,脈部位沉。脈利度滑。脈力度弱。脈寬度細。脈力度弱。,脈診,
1992,脈沉沉細數,5,脈部位沉。脈部位沉。脈寬度細。脈速度快。,脈診,
1993,脈沉數稍弱,5,脈部位沉。脈速度快。脈力度弱。,脈診,
1994,脈沉數稍弦,5,脈部位沉。脈速度快。脈緊度緊。脈長度長。,脈診,
1995,脈浮弦弱緩,5,脈部位浮。脈緊度緊。脈長度長。脈力度弱。脈速度慢。,脈診,
1996,脈沉緊稍滑,5,脈部位沉。脈緊度緊。脈利度滑。,脈診,
1997,脈沉滑滑數,5,脈部位沉。脈利度滑。脈利度滑。脈速度快。,脈診,
1998,脈沉稍澀細,5,脈部位沉。脈利度澀。脈幅異常。脈寬度細。,脈診,
1999,脈弦數結代,5,脈緊度緊。脈長度長。脈速度快。脈速度慢。脈止率亂。脈止率定。,脈診,
2000,脈弦滑稍細,5,脈緊度緊。脈長度長。脈利度滑。脈寬度細。,脈診,
2001,脈沉滑稍散,5,脈部位沉。脈利度滑。脈緊度散。,脈診,
2002,脈沉滑稍數,5,脈部位沉。脈利度滑。脈速度快。,脈診,
2003,脈沉滑稍澀,5,脈部位沉。脈利度滑。脈利度澀。脈幅異常。,脈診,
2004,脈沉滑稍細,5,脈部位沉。脈利度滑。脈寬度細。,脈診,
2005,脈沉滑弦散,5,脈部位沉。脈利度滑。脈緊度緊。脈長度長。脈緊度散。,脈診,
2006,脈弦滑短濡,5,脈緊度緊。脈長度長。脈利度滑。脈長度短。脈部位浮。脈力度弱。脈寬度細。,脈診,
2007,脈弦洪稍數,5,脈緊度緊。脈長度長。脈寬度寬。脈速度快。,脈診,
2008,脈弦短數滑,5,脈緊度緊。脈長度長。脈長度短。脈速度快。脈利度滑。,脈診,
2009,脈弦沉稍細,5,脈緊度緊。脈長度長。脈部位沉。脈寬度細。,脈診,
2010,脈弦滑弦緩,5,脈緊度緊。脈長度長。脈利度滑。脈緊度緊。脈長度長。脈速度慢。,脈診,
2011,脈弦滑弱緩,5,脈緊度緊。脈長度長。脈利度滑。脈力度弱。脈速度慢。,脈診,
2012,脈弦滑微數,5,脈緊度緊。脈長度長。脈利度滑。脈寬度細。脈力度弱。脈速度快。,脈診,
2013,脈弦滑弦滑,5,脈緊度緊。脈長度長。脈利度滑。脈緊度緊。脈長度長。脈利度滑。,脈診,
2014,脈弦緩稍細,5,脈緊度緊。脈長度長。脈速度慢。脈寬度細。,脈診,
2015,脈沉滑浮數,5,脈部位沉。脈利度滑。脈部位浮。脈速度快。,脈診,
2016,脈弦滑促大,5,脈緊度緊。脈長度長。脈利度滑。脈速度快。脈止率亂。脈寬度寬。,脈診,
2017,脈弦稍沉滑,5,脈緊度緊。脈長度長。脈部位沉。脈利度滑。,脈診,
2018,脈弦稍沉細,5,脈緊度緊。脈長度長。脈部位沉。脈寬度細。,脈診,
2019,脈弦稍沉緊,5,脈緊度緊。脈長度長。脈部位沉。脈緊度緊。,脈診,
2020,脈弦稍洪數,5,脈緊度緊。脈長度長。脈寬度寬。脈速度快。,脈診,
2021,脈弦稍洪滑,5,脈緊度緊。脈長度長。脈寬度寬。脈利度滑。,脈診,
2022,脈弦稍洪緩,5,脈緊度緊。脈長度長。脈寬度寬。脈速度慢。,脈診,
2023,脈弦稍浮數,5,脈緊度緊。脈長度長。脈部位浮。脈速度快。,脈診,
2024,脈弦稍浮滑,5,脈緊度緊。脈長度長。脈部位浮。脈利度滑。,脈診,
2025,脈沉滑短數,5,脈部位沉。脈利度滑。脈長度短。脈速度快。,脈診,
2026,脈沉滑澀緩,5,脈部位沉。脈利度滑。脈利度澀。脈幅異常。脈速度慢。,脈診,
2027,脈弦數稍洪,5,脈緊度緊。脈長度長。脈速度快。脈寬度寬。,脈診,
2028,脈弦浮稍數,5,脈緊度緊。脈長度長。脈部位浮。脈速度快。,脈診,
2029,脈弦滑代數,5,脈緊度緊。脈長度長。脈利度滑。脈止率定。脈速度快。,脈診,
2030,脈弦稍滑大,5,脈緊度緊。脈長度長。脈利度滑。脈寬度寬。,脈診,
2031,脈弦緩細弱,5,脈緊度緊。脈長度長。脈速度慢。脈寬度細。脈力度弱。,脈診,
2032,脈弦稍滑細,5,脈緊度緊。脈長度長。脈利度滑。脈寬度細。,脈診,
2033,脈弦稍滑緩,5,脈緊度緊。脈長度長。脈利度滑。脈速度慢。,脈診,
2034,脈弦短稍弱,5,脈緊度緊。脈長度長。脈長度短。脈力度弱。,脈診,
2035,脈弦短滑數,5,脈緊度緊。脈長度長。脈長度短。脈利度滑。脈速度快。,脈診,
2036,脈弦稍數洪,5,脈緊度緊。脈長度長。脈速度快。脈寬度寬。,脈診,
2037,脈弦稍數滑,5,脈緊度緊。脈長度長。脈速度快。脈利度滑。,脈診,
2038,脈弦稍數細,5,脈緊度緊。脈長度長。脈速度快。脈寬度細。,脈診,
2039,脈弦稍有澀,5,脈緊度緊。脈長度長。脈利度澀。脈幅異常。,脈診,
2040,脈弦弦弱滑,5,脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈力度弱。脈利度滑。,脈診,
2041,脈弦動有動,5,脈緊度緊。脈長度長。脈速度快。脈力度強。脈利度滑。脈長度短。脈速度快。脈力度強。脈利度滑。脈長度短。,脈診,
2042,脈弦代稍浮,5,脈緊度緊。脈長度長。脈止率定。脈部位浮。,脈診,
2043,脈大稍有弦,5,脈寬度寬。脈緊度緊。脈長度長。,脈診,
2044,脈動滑稍促,5,脈速度快。脈力度強。脈利度滑。脈長度短。脈利度滑。脈速度快。脈止率亂。,脈診,
2045,脈弦稍沉數,5,脈緊度緊。脈長度長。脈部位沉。脈速度快。,脈診,
2046,脈弦短稍滑,5,脈緊度緊。脈長度長。脈長度短。脈利度滑。,脈診,
2047,脈弦稍弱數,5,脈緊度緊。脈長度長。脈力度弱。脈速度快。,脈診,
2048,脈弦稍弱沉,5,脈緊度緊。脈長度長。脈力度弱。脈部位沉。,脈診,
2049,脈弦遲微滑,5,脈緊度緊。脈長度長。脈速度慢。脈寬度細。脈力度弱。脈利度滑。,脈診,
2050,脈弦長微數,5,脈緊度緊。脈長度長。脈長度長。脈寬度細。脈力度弱。脈速度快。,脈診,
2051,脈弦長微滑,5,脈緊度緊。脈長度長。脈長度長。脈寬度細。脈力度弱。脈利度滑。,脈診,
2052,脈弱弦滑數,5,脈力度弱。脈緊度緊。脈長度長。脈利度滑。脈速度快。,脈診,
2053,脈弱弦稍緊,5,脈力度弱。脈緊度緊。脈長度長。脈緊度緊。,脈診,
2054,脈弦弱稍滑,5,脈緊度緊。脈長度長。脈力度弱。脈利度滑。,脈診,
2055,脈弱弱弱弱,5,脈力度弱。脈力度弱。脈力度弱。脈力度弱。,脈診,
2056,脈弱弱弱澀,5,脈力度弱。脈力度弱。脈力度弱。脈利度澀。脈幅異常。,脈診,
2057,脈弦稍細弱,5,脈緊度緊。脈長度長。脈寬度細。脈力度弱。,脈診,
2058,脈弦稍澀細,5,脈緊度緊。脈長度長。脈利度澀。脈幅異常。脈寬度細。,脈診,
2059,脈弦稍澀數,5,脈緊度緊。脈長度長。脈利度澀。脈幅異常。脈速度快。,脈診,
2060,脈弦緩稍澀,5,脈緊度緊。脈長度長。脈速度慢。脈利度澀。脈幅異常。,脈診,
2061,脈沉稍澀滑,5,脈部位沉。脈利度澀。脈幅異常。脈利度滑。,脈診,
2062,脈弦稍滑數,5,脈緊度緊。脈長度長。脈利度滑。脈速度快。,脈診,
2063,脈弦稍滑滑,5,脈緊度緊。脈長度長。脈利度滑。脈利度滑。,脈診,
2064,脈弦浮沉弱,5,脈緊度緊。脈長度長。脈部位浮。脈部位沉。脈力度弱。,脈診,
2065,脈弦洪稍緩,5,脈緊度緊。脈長度長。脈寬度寬。脈速度慢。,脈診,
2066,脈弦沉微數,5,脈緊度緊。脈長度長。脈部位沉。脈寬度細。脈力度弱。脈速度快。,脈診,
2067,脈弱弱弱數,5,脈力度弱。脈力度弱。脈力度弱。脈速度快。,脈診,
2068,脈弦滑細短,5,脈緊度緊。脈長度長。脈利度滑。脈寬度細。脈長度短。,脈診,
2069,脈弦弱微滑,5,脈緊度緊。脈長度長。脈力度弱。脈寬度細。脈力度弱。脈利度滑。,脈診,
2070,脈弦弦稍滑,5,脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈利度滑。,脈診,
2071,脈弦稍微數,5,脈緊度緊。脈長度長。脈寬度細。脈力度弱。脈速度快。,脈診,
2072,脈弦滑短數,5,脈緊度緊。脈長度長。脈利度滑。脈長度短。脈速度快。,脈診,
2073,脈弦稍弱緩,5,脈緊度緊。脈長度長。脈力度弱。脈速度慢。,脈診,
2074,脈弦稍弱細,5,脈緊度緊。脈長度長。脈力度弱。脈寬度細。,脈診,
2075,脈弦稍弱澀,5,脈緊度緊。脈長度長。脈力度弱。脈利度澀。脈幅異常。,脈診,
2076,脈沉滑數長,5,脈部位沉。脈利度滑。脈速度快。脈長度長。,脈診,
2077,脈沉滑澀散,5,脈部位沉。脈利度滑。脈利度澀。脈幅異常。脈緊度散。,脈診,
2078,脈弦微浮滑,5,脈緊度緊。脈長度長。脈寬度細。脈力度弱。脈部位浮。脈利度滑。,脈診,
2079,脈沉稍緊細,5,脈部位沉。脈緊度緊。脈寬度細。,脈診,
2080,脈沉稍滑澀,5,脈部位沉。脈利度滑。脈利度澀。脈幅異常。,脈診,
2081,脈弦澀微數,5,脈緊度緊。脈長度長。脈利度澀。脈幅異常。脈寬度細。脈力度弱。脈速度快。,脈診,
2082,脈沉稍數弦,5,脈部位沉。脈速度快。脈緊度緊。脈長度長。,脈診,
2083,脈沉稍緊數,5,脈部位沉。脈緊度緊。脈速度快。,脈診,
2084,脈沉稍弦細,5,脈部位沉。脈緊度緊。脈長度長。脈寬度細。,脈診,
2085,脈沉稍弱大,5,脈部位沉。脈力度弱。脈寬度寬。,脈診,
2086,脈沉稍滑細,5,脈部位沉。脈利度滑。脈寬度細。,脈診,
2087,小便尿失禁,5,小便失禁。,新,_
2088,脈沉稍弦緊,5,脈部位沉。脈緊度緊。脈長度長。脈緊度緊。,脈診,
2089,脈沉稍弦滑,5,脈部位沉。脈緊度緊。脈長度長。脈利度滑。,脈診,
2090,脈沉稍有澀,5,脈部位沉。脈利度澀。脈幅異常。,脈診,
2091,腰部麻酸痛,5,腰麻。腰酸。腰痛。,新,_
2092,脈弦滑稍緊,5,脈緊度緊。脈長度長。脈利度滑。脈緊度緊。,脈診,
2093,脈弦短微緊,5,脈緊度緊。脈長度長。脈長度短。脈寬度細。脈力度弱。脈緊度緊。,脈診,
2094,脈弦滑細滑,5,脈緊度緊。脈長度長。脈利度滑。脈寬度細。脈利度滑。,脈診,
2095,脈弱稍弦滑,5,脈力度弱。脈緊度緊。脈長度長。脈利度滑。,脈診,
2096,脈弦澀滑弱,5,脈緊度緊。脈長度長。脈利度澀。脈幅異常。脈利度滑。脈力度弱。,脈診,
2097,脈浮弦滑澀,5,脈部位浮。脈緊度緊。脈長度長。脈利度滑。脈利度澀。脈幅異常。,脈診,
2098,脈沉稍細滑,5,脈部位沉。脈寬度細。脈利度滑。,脈診,
2099,脈弦滑稍浮,5,脈緊度緊。脈長度長。脈利度滑。脈部位浮。,脈診,
2100,脈弦滑稍沉,5,脈緊度緊。脈長度長。脈利度滑。脈部位沉。,脈診,
2101,脈沉細弱弦,5,脈部位沉。脈寬度細。脈力度弱。脈緊度緊。脈長度長。,脈診,
2102,脈弦滑稍數,5,脈緊度緊。脈長度長。脈利度滑。脈速度快。,脈診,
2103,脈弦滑稍澀,5,脈緊度緊。脈長度長。脈利度滑。脈利度澀。脈幅異常。,脈診,
2104,脈沉微滑數,5,脈部位沉。脈寬度細。脈力度弱。脈利度滑。脈速度快。,脈診,
2105,脈弦滑稍緩,5,脈緊度緊。脈長度長。脈利度滑。脈速度慢。,脈診,
2106,脈弦滑稍弱,5,脈緊度緊。脈長度長。脈利度滑。脈力度弱。,脈診,
2107,脈滑澀促數,5,脈利度滑。脈利度澀。脈幅異常。脈速度快。脈止率亂。脈速度快。,脈診,
2108,脈沉稍滑數,5,脈部位沉。脈利度滑。脈速度快。,脈診,
2109,脈沉稍滑弱,5,脈部位沉。脈利度滑。脈力度弱。,脈診,
2110,脈沉稍洪數,5,脈部位沉。脈寬度寬。脈速度快。,脈診,
2111,脈沉稍弱細,5,脈部位沉。脈力度弱。脈寬度細。,脈診,
2112,脈滑微弦緊,5,脈利度滑。脈寬度細。脈力度弱。脈緊度緊。脈長度長。脈緊度緊。,脈診,
2113,無下肢浮腫,5,,新,_
2114,白苔厚有裂,5,舌苔顏色白。舌苔厚度厚。舌體形體裂紋。,新,_
2115,下肢正常。,5,,新,_
2116,足浮腫而痛,5,下肢浮腫。下肢痛。,新,_
2117,面部稍浮腫,5,面浮腫。,新,_
2118,不手足無力,5,,新,_
2119,大便微出血,5,大便挾血。,新,_
2120,牙齒齦出血,5,牙齦出血。,新,_
2121,牙齦易流血,5,牙齦出血。,新,_
2122,大便軟無力,5,大便無力。,新,_
2123,走樓梯無力,5,下肢無力。,新,_
2124,舌形狀胖大,5,舌體形體胖厚。,新,_
2125,舌形體胖大,5,舌體形體胖厚。,新,_
2126,四肢指尖麻,5,手指麻木。四肢麻木。,新,_
2127,脈弦細緩弱,5,脈緊度緊。脈長度長。脈寬度細。脈速度慢。脈力度弱。,新,_
2128,泌尿道發炎,5,,新,_
2129,脈沉稍有滑,5,脈部位沉。脈利度滑。,脈診,
2130,脈沉短數弱,5,脈部位沉。脈長度短。脈速度快。脈力度弱。,脈診,
2131,脈沉稍弱數,5,脈部位沉。脈力度弱。脈速度快。,脈診,
2132,脈沉稍細數,5,脈部位沉。脈寬度細。脈速度快。,脈診,
2133,牙齦易出血,5,牙齦出血。,新,_
2134,腰臀部酸痛,5,腰酸。腰痛。股陰痛。,新,_
2135,腹部不悶脹,5,,新,_
2136,餘尿不乾淨,5,小便不淨。,新,_
2137,吵雜而脹痛,5,嘈雜。胃脹。胃痛。,新,_
2138,脈沉稍弱弦,5,脈部位沉。脈力度弱。脈緊度緊。脈長度長。,脈診,
2139,脈弦滑細弱,5,脈緊度緊。脈長度長。脈利度滑。脈寬度細。脈力度弱。,脈診,
2140,脈弦滑細緩,5,脈緊度緊。脈長度長。脈利度滑。脈寬度細。脈速度慢。,脈診,
2141,脈沉緊細數,5,脈部位沉。脈緊度緊。脈寬度細。脈速度快。,脈診,
2142,脈弦澀稍細,5,脈緊度緊。脈長度長。脈利度澀。脈幅異常。脈寬度細。,脈診,
2143,脈洪大弦滑,5,脈寬度寬。脈寬度寬。脈緊度緊。脈長度長。脈利度滑。,脈診,
2144,脈沉濡弦數,5,脈部位沉。脈部位浮。脈力度弱。脈寬度細。脈緊度緊。脈長度長。脈速度快。,脈診,
2145,脈沉緩稍細,5,脈部位沉。脈速度慢。脈寬度細。,脈診,
2146,脈沉緩稍浮,5,脈部位沉。脈速度慢。脈部位浮。,脈診,
2147,脈沉緩稍弱,5,脈部位沉。脈速度慢。脈力度弱。,脈診,
2148,脈沉緩稍弦,5,脈部位沉。脈速度慢。脈緊度緊。脈長度長。,脈診,
2149,脈沉稍細弦,5,脈部位沉。脈寬度細。脈緊度緊。脈長度長。,脈診,
2150,脈沉弱結澀,5,脈部位沉。脈力度弱。脈速度慢。脈止率亂。脈利度澀。脈幅異常。,脈診,
2151,脈沉緩微弦,5,脈部位沉。脈速度慢。脈寬度細。脈力度弱。脈緊度緊。脈長度長。,脈診,
2152,脈弦數稍滑,5,脈緊度緊。脈長度長。脈速度快。脈利度滑。,脈診,
2153,脈弦數稍沉,5,脈緊度緊。脈長度長。脈速度快。脈部位沉。,脈診,
2154,脈浮大稍緩,5,脈部位浮。脈寬度寬。脈速度慢。,脈診,
2155,脈浮弦弱細,5,脈部位浮。脈緊度緊。脈長度長。脈力度弱。脈寬度細。,脈診,
2156,脈弦澀稍數,5,脈緊度緊。脈長度長。脈利度澀。脈幅異常。脈速度快。,脈診,
2157,脈弱稍有動,5,脈力度弱。脈速度快。脈力度強。脈利度滑。脈長度短。,脈診,
2158,脈浮弦微緊,5,脈部位浮。脈緊度緊。脈長度長。脈寬度細。脈力度弱。脈緊度緊。,脈診,
2159,脈浮弦微澀,5,脈部位浮。脈緊度緊。脈長度長。脈寬度細。脈力度弱。脈利度澀。脈幅異常。,脈診,
2160,脈浮弦微數,5,脈部位浮。脈緊度緊。脈長度長。脈寬度細。脈力度弱。脈速度快。,脈診,
2161,脈浮弦微滑,5,脈部位浮。脈緊度緊。脈長度長。脈寬度細。脈力度弱。脈利度滑。,脈診,
2162,脈沉細微細,5,脈部位沉。脈寬度細。脈寬度細。脈力度弱。脈寬度細。,脈診,
2163,脈沉細弱澀,5,脈部位沉。脈寬度細。脈力度弱。脈利度澀。脈幅異常。,脈診,
2164,脈沉澀弱緩,5,脈部位沉。脈利度澀。脈幅異常。脈力度弱。脈速度慢。,脈診,
2165,脈沉滑細弱,5,脈部位沉。脈利度滑。脈寬度細。脈力度弱。,脈診,
2166,脈沉細弱緊,5,脈部位沉。脈寬度細。脈力度弱。脈緊度緊。,脈診,
2167,脈沉稍弦數,5,脈部位沉。脈緊度緊。脈長度長。脈速度快。,脈診,
2168,脈沉濡細緊,5,脈部位沉。脈部位浮。脈力度弱。脈寬度細。脈寬度細。脈緊度緊。,脈診,
2169,脈沉微弦滑,5,脈部位沉。脈寬度細。脈力度弱。脈緊度緊。脈長度長。脈利度滑。,脈診,
2170,脈沉滑微數,5,脈部位沉。脈利度滑。脈寬度細。脈力度弱。脈速度快。,脈診,
