,原始症狀,標準症狀
7625,脊痛起于骶部連背，不能挺直，甚則脊中一線覺冷,背痛。
7626,脊痛起于骶部連背，不能挺直，甚則脊中一線覺冷,尾閭痛。
7627,脊痛起于骶部連背，不能挺直，甚則脊中一線覺冷,背冷。
7628,腰亦冷，常如風寒侵入,腰冷。
7629,腰亦冷，常如風寒侵入,畏寒。
7630,少腹痛引陰囊,少腹痛。
7631,少腹痛引陰囊,股陰痛。
7632,小腹自感冷痛,小腹冷。
7633,小腹自感冷痛,小腹痛。
7634,夜多小便,夜時小便次多。
7635,夜多小便,小便量多。
7636,平昔帶下清稀,白帶色清。
7637,平昔帶下清稀,白帶質稀。
7638,胸悶乳脹,胸悶。
7639,胸悶乳脹,乳房脹。
7640,經前兩乳作脹,經前乳脹。
7641,乳房腫物疼痛,乳房脹。
7642,經行前後及經行期小腹疼痛甚劇,小腹痛。
7643,經行前後及經行期小腹疼痛甚劇,月經腹痛。
7644,小便滴瀝失禁，滴下不覺,小便失禁。
7645,小便不利而清白,小便不暢。
7646,小便不利而清白,小便色清。
7647,小便不利而清白,小便色白。
7648,小便涓滴難出,小便不暢。
7649,尿頻不多,小便次多。
7650,尿頻不多,小便量少。
7651,尿道脹痛難忍,小便疼痛。
7652,用力小便時，則尿量甚少，並下血絲,小便量少。
7653,用力小便時，則尿量甚少，並下血絲,小便挾血。
7654,腳氣痛而少腹麻痹不仁,下肢痛。
7655,腰痛腰部酸痛，不能坐臥轉側,腰痛。
7656,腰痛腰部酸痛，不能坐臥轉側,腰酸。
7657,少腹拘急,少腹攣急。
7658,氣從少腹上沖而喘，勞動則甚,氣由下往上衝。
7659,氣從少腹上沖而喘，勞動則甚,呼吸急促。
7660,呼吸不續,呼吸不暢。
7661,胸滿上氣,胸悶。
7662,臍中切痛,臍腹痛。
7663,咳喘氣逆,咳喘。
7664,咳喘氣逆,氣逆。
7665,稠飲自下焦漾漾而起，溢出口中者,飲不下嚥。
7666,飢不能食,食欲低落。
7667,精神緊張，易驚,情緒心驚。
7668,小腹弦急,小腹攣急。
7669,喜按喜溫畏寒肢冷,喜溫。
7670,喜按喜溫畏寒肢冷,畏寒。
7671,喜按喜溫畏寒肢冷,四肢冷。
7672,每交子夜存涼氣自尾閭上行,背冷。
7673,小便自溢,小便失禁。
7674,小便不得控制，每有聲響即遺,小便失禁。
7675,小便清長，飲一溲一,小便色清。
7676,小便清長，飲一溲一,小便量多。
7677,白帶清稀，如水，淋漓不止,白帶色清。
7678,白帶清稀，如水，淋漓不止,白帶質稀。
7679,白帶清稀，如水，淋漓不止,白帶量多。
7680,鼻不塞而清涕如湧泉,鼻流涕。
7681,鼻不塞而清涕如湧泉,涕色清。
7682,鼻不塞而清涕如湧泉,涕量多。
7683,納谷欠馨,食欲低落。
7684,便混濁如脂膏,小便挾乳糜。
7685,闔目汗出,自汗。
7686,身熱足寒,四肢熱。
7687,身熱足寒,足冷。
7688,口鼻咽乾燥痛,口乾。
7689,口鼻咽乾燥痛,鼻乾。
7690,口鼻咽乾燥痛,鼻痛。
7691,口鼻咽乾燥痛,喉乾。
7692,口鼻咽乾燥痛,喉痛。
7693,熱氣從背沖上頭頂,背熱。
7694,熱氣從背沖上頭頂,頭熱。
7695,晨吐黃稠痰,痰色黃。
7696,晨吐黃稠痰,痰質濃。
7697,牙微痛動搖,牙齒痛。
7698,牙微痛動搖,牙齒動搖。
7699,乍寒,畏寒。
7700,背寒下肢常冷，冬季如冰,背冷。
7701,背寒下肢常冷，冬季如冰,下肢冷。
7702,背寒下肢常冷，冬季如冰,畏寒。
7703,巔頂口舌冒冷氣,呼涼氣。
7704,寒氣從頭頂直下至小腿,畏寒。
7705,兩眼發赤，晝夜刺痛，入夜尤甚,目紅。
7706,兩眼發赤，晝夜刺痛，入夜尤甚,目痛。
7707,衄血如湧,鼻衄。
7708,齒衄點滴，色淡血稀，或紫暗成塊,牙齦出血。
7709,遇勞則衄,鼻衄。
7710,吐血如涌，惟色淡血稀，或紫暗成塊,吐血。
7711,吐血如湧，血出時喉間漉漉有聲,吐血。
7712,面色淡紅，遊移不定,面色紅。
7713,大吐,嘔吐。
7714,大衄,鼻衄。
7715,大吐大衄,嘔吐。
7716,大吐大衄,鼻衄。
7717,形凜惡寒肢冷,惡寒。
7718,形凜惡寒肢冷,四肢冷。
7719,口舌咽喉經常潰爛作痛，咀嚼吞咽皆礙，全有凹陷性潰瘍，色呈淡紅，但不腫痛，亦無臭氣,喉痛。
7720,口舌咽喉經常潰爛作痛，咀嚼吞咽皆礙，全有凹陷性潰瘍，色呈淡紅，但不腫痛，亦無臭氣,吞嚥不暢。
7721,口舌咽喉經常潰爛作痛，咀嚼吞咽皆礙，全有凹陷性潰瘍，色呈淡紅，但不腫痛，亦無臭氣,口瘡。
7722,咽喉常覺有異物阻塞，然飲食不礙,咽阻。
7723,咽津則哽阻,咽阻。
7724,吞咽食物及飲水，咽津，總像食道內有異物阻滯,咽阻。
7725,牙齒經常發痛，痛劇則不能飲食,牙齒痛。
7726,牙齒經常發痛，痛劇則不能飲食,食欲低落。
7727,緩縱不收，骨痿於床，肌力減退，腱反射消失,下肢無力。
7728,小腿肌肉萎縮,四肢萎縮。
7729,兩足下垂,下肢沉重。
7730,量多色暗有血塊,月經量多。
7731,量多色暗有血塊,月經挾塊。
7732,量多色暗有血塊,月經色黑。
7733,陰寒疼甚,前陰冷。
7734,陰寒疼甚,股陰痛。
7735,腰膝疼痛，遇陰亦甚,腰痛。
7736,腰膝疼痛，遇陰亦甚,膝痛。
7737,脊柱側彎,背僂。
7738,兩腰痛，連臀部,腰痛。
7739,兩腰痛，連臀部,股陰痛。
7740,右髖痹痛,腰痛。
7741,右髖痹痛,腰麻。
7742,腰髖弛痛,腰痛。
7743,右下肢疼不能舉,下肢痛。
7744,右下肢肌肉萎縮,四肢萎縮。
7745,下肢癱瘓,下肢無力。
7746,足麻痹腫痛,下肢腫脹。
7747,足麻痹腫痛,下肢痛。
7748,足麻痹腫痛,下肢麻木。
7749,兩腳至腰腿麻木無力已,下肢麻木。
7750,兩腳至腰腿麻木無力已,下肢無力。
7751,兩腳至腰腿麻木無力已,腰麻。
7752,兩腳至腰腿麻木無力已,腰無力。
7753,足趾發涼,足冷。
7754,四肢麻木疼痛，雙足趾更明顯，不能站立，麻木,四肢麻木。
7755,四肢麻木疼痛，雙足趾更明顯，不能站立，麻木,四肢痛。
7756,四肢肌肉逐漸萎縮,四肢萎縮。
7757,淡紅色斑片，上蓋銀白色鱗屑，抓之易脫落，抓甚出血，每與房事及疲分後加甚,皮膚紅斑。
7758,腰酸脊困,腰酸。
7759,腰酸脊困,背僵。
7760,行動無力脛酸,小腿無力。
7761,行動無力脛酸,小腿酸。
7762,腰脊伛僂形俯,背僂。
7763,腰脊伛僂形俯,腰僵。
7764,汗出筋縱而痛，冬月為甚,自汗。
7765,汗出筋縱而痛，冬月為甚,四肢痛。
7766,小便頻數，有時微渾,小便次多。
7767,小便頻數，有時微渾,小便挾乳糜。
7768,形瘦神怯,全身消瘦。
7769,形瘦神怯,情緒神疲。
7770,腰膝酸軟無力,腰酸。
7771,腰膝酸軟無力,腰無力。
7772,腰膝酸軟無力,膝酸。
7773,經事數月一行,月經後期。
7774,膝酸肢楚,膝酸。
7775,膝酸肢楚,四肢痛。
7776,腰酸肢楚，骨屈伸不利,腰酸。
7777,腰酸肢楚，骨屈伸不利,四肢痛。
7778,腰酸肢楚，骨屈伸不利,腰僵。
7779,腰髀酸楚疼痛，不能轉側，動則痛不可忍,腰酸。
7780,腰髀酸楚疼痛，不能轉側，動則痛不可忍,腰痛。
7781,腰髀酸楚疼痛，不能轉側，動則痛不可忍,難臥。
7782,手指關節變形,關節變形。
7783,婦女崩帶，白帶多，時紅時白，經年不絕,白帶量多。
7784,婦女崩帶，白帶多，時紅時白，經年不絕,白帶色清。
7785,婦女崩帶，白帶多，時紅時白，經年不絕,白帶色雜。
7786,睪丸隱痛，時發時止，遇勞即發,睪丸墜脹。
7787,睡不安,易醒。
7788,吵鬧不肯入睡,難眠。
7789,腰脊不舉,腰僵。
7790,腳膝無力，行則僂俯,下肢無力。
7791,腳膝無力，行則僂俯,背僂。
7792,天柱、腰膝酸痛，坐則少減，勞動更甚,腰酸。
7793,天柱、腰膝酸痛，坐則少減，勞動更甚,腰痛。
7794,天柱、腰膝酸痛，坐則少減，勞動更甚,膝酸。
7795,天柱、腰膝酸痛，坐則少減，勞動更甚,膝痛。
7796,胸骨，關節疼痛,胸痛。
7797,胸骨，關節疼痛,關節痛。
7798,頸部強直,頸項僵。
7799,吞咽及言語障礙,吞嚥不暢。
7800,吞咽及言語障礙,情緒聲弱。
7801,棉被复裹，遍體濕冷,畏寒。
7802,目光晦滯,目散。
7803,惡露不淨,惡露不止。
7804,食則嘔吐,嘔吐。
7805,時作空嘔,乾嘔。
7806,色奪語微,情緒聲弱。
7807,早食暮吐或暮食朝吐,嘔吐。
7808,食入即嘔，進辛香溫燥，嘔吐更甚,嘔吐。
7809,男子失精,遺精。
7810,女子夢交,多夢。
7811,咽阻心熱，得噯氣略爽,咽阻。
7812,咽阻心熱，得噯氣略爽,發熱。
7813,咽阻心熱，得噯氣略爽,噯氣。
7814,四肢掌心汗出，以手心為甚,四肢汗出。
7815,寐則汗收，寤則汗出,自汗。
7816,失眠，煩驚更甚,難眠。
7817,失眠，煩驚更甚,情緒煩躁。
7818,失眠，煩驚更甚,情緒心驚。
7819,頭微震顫,頭顫。
7820,口不能言,語聲不出。
7821,面無光澤而微黑,面色暗。
7822,面無光澤而微黑,面色黑。
7823,驚怯則心跳,情緒心驚。
7824,驚怯則心跳,心悸。
7825,心戰膽寒,心悸。
7826,平時帶下,白帶量多。
7827,齒板,牙齦瘡。
7828,兼有白帶,白帶量多。
7829,喉中如煙火上攻,氣逆。
7830,眼前發黑,目暗。
7831,喜陰惡陽,喜暗。
7832,眼常黑花，見物飛動,目暗。
7833,乍寒，日輕夜重，或與發散愈熾,畏寒。
7834,面部，乳頭，手足背側，陰部尤顯，兩顴及額上有黑色團塊，環口黧黑，腰臍周圍有黑線,面色黑。
7835,下肢厥冷,下肢厥冷。
7836,腫脹、鼓起拒按，或疼痛,全身腫脹。
7837,腫脹、鼓起拒按，或疼痛,全身痛。
7838,悶、滿，甚則脹、痛之患，多見於胸、背、脅、脘、腹，亦可見於肢、體、腰、膂,胸悶。
7839,悶、滿，甚則脹、痛之患，多見於胸、背、脅、脘、腹，亦可見於肢、體、腰、膂,胸脹。
7840,悶、滿，甚則脹、痛之患，多見於胸、背、脅、脘、腹，亦可見於肢、體、腰、膂,胸痛。
7841,悶、滿，甚則脹、痛之患，多見於胸、背、脅、脘、腹，亦可見於肢、體、腰、膂,背痛。
7842,悶、滿，甚則脹、痛之患，多見於胸、背、脅、脘、腹，亦可見於肢、體、腰、膂,脅脹。
7843,悶、滿，甚則脹、痛之患，多見於胸、背、脅、脘、腹，亦可見於肢、體、腰、膂,脅痛。
7844,悶、滿，甚則脹、痛之患，多見於胸、背、脅、脘、腹，亦可見於肢、體、腰、膂,胃悶。
7845,悶、滿，甚則脹、痛之患，多見於胸、背、脅、脘、腹，亦可見於肢、體、腰、膂,胃脹。
7846,悶、滿，甚則脹、痛之患，多見於胸、背、脅、脘、腹，亦可見於肢、體、腰、膂,胃痛。
7847,悶、滿，甚則脹、痛之患，多見於胸、背、脅、脘、腹，亦可見於肢、體、腰、膂,腹脹。
7848,悶、滿，甚則脹、痛之患，多見於胸、背、脅、脘、腹，亦可見於肢、體、腰、膂,腹痛。
7849,悶、滿，甚則脹、痛之患，多見於胸、背、脅、脘、腹，亦可見於肢、體、腰、膂,四肢腫脹。
7850,悶、滿，甚則脹、痛之患，多見於胸、背、脅、脘、腹，亦可見於肢、體、腰、膂,四肢痛。
7851,悶、滿，甚則脹、痛之患，多見於胸、背、脅、脘、腹，亦可見於肢、體、腰、膂,全身腫脹。
7852,悶、滿，甚則脹、痛之患，多見於胸、背、脅、脘、腹，亦可見於肢、體、腰、膂,全身痛。
7853,悶、滿，甚則脹、痛之患，多見於胸、背、脅、脘、腹，亦可見於肢、體、腰、膂,腰痛。
7854,氣之升降出入，周流不息，一有鬱滯，則失其常，不通則為痛為脹，通則氣竄走不定，失其常道，或氣聚則有形，氣散則無形,胸脹。
7855,氣之升降出入，周流不息，一有鬱滯，則失其常，不通則為痛為脹，通則氣竄走不定，失其常道，或氣聚則有形，氣散則無形,胸痛。
7856,氣之升降出入，周流不息，一有鬱滯，則失其常，不通則為痛為脹，通則氣竄走不定，失其常道，或氣聚則有形，氣散則無形,背痛。
7857,氣之升降出入，周流不息，一有鬱滯，則失其常，不通則為痛為脹，通則氣竄走不定，失其常道，或氣聚則有形，氣散則無形,脅脹。
7858,氣之升降出入，周流不息，一有鬱滯，則失其常，不通則為痛為脹，通則氣竄走不定，失其常道，或氣聚則有形，氣散則無形,脅痛。
7859,氣之升降出入，周流不息，一有鬱滯，則失其常，不通則為痛為脹，通則氣竄走不定，失其常道，或氣聚則有形，氣散則無形,胃脹。
7860,氣之升降出入，周流不息，一有鬱滯，則失其常，不通則為痛為脹，通則氣竄走不定，失其常道，或氣聚則有形，氣散則無形,胃痛。
7861,氣之升降出入，周流不息，一有鬱滯，則失其常，不通則為痛為脹，通則氣竄走不定，失其常道，或氣聚則有形，氣散則無形,腹脹。
7862,氣之升降出入，周流不息，一有鬱滯，則失其常，不通則為痛為脹，通則氣竄走不定，失其常道，或氣聚則有形，氣散則無形,腹痛。
7863,氣之升降出入，周流不息，一有鬱滯，則失其常，不通則為痛為脹，通則氣竄走不定，失其常道，或氣聚則有形，氣散則無形,四肢腫脹。
7864,氣之升降出入，周流不息，一有鬱滯，則失其常，不通則為痛為脹，通則氣竄走不定，失其常道，或氣聚則有形，氣散則無形,四肢痛。
7865,氣之升降出入，周流不息，一有鬱滯，則失其常，不通則為痛為脹，通則氣竄走不定，失其常道，或氣聚則有形，氣散則無形,全身腫脹。
7866,氣之升降出入，周流不息，一有鬱滯，則失其常，不通則為痛為脹，通則氣竄走不定，失其常道，或氣聚則有形，氣散則無形,全身痛。
7867,氣之升降出入，周流不息，一有鬱滯，則失其常，不通則為痛為脹，通則氣竄走不定，失其常道，或氣聚則有形，氣散則無形,腰痛。
7868,皮膚見紫斑，青腫或紫紅小點如疹，或發如紫雲,皮膚紫斑。
7869,皮膚見紫斑，青腫或紫紅小點如疹，或發如紫雲,皮膚紅疹。
7870,飢渴消瘦,食欲亢進。
7871,飢渴消瘦,口渴。
7872,飢渴消瘦,全身消瘦。
7873,形體虛胖,全身浮腫。
7874,浮脈,脈部位浮。
7875,沉脈,脈部位沉。
7876,伏脈,脈部位伏。
7877,遲脈,脈速度慢。
7878,數脈,脈速度快。
7879,緩脈,脈速度慢。
7880,疾脈,脈速度疾。
7881,虛脈,脈力度弱。
7882,實脈,脈寬度寬。
7883,實脈,脈長度長。
7884,牢脈,脈力度強。
7885,牢脈,脈寬度寬。
7886,牢脈,脈緊度緊。
7887,牢脈,脈長度長。
7888,滑脈,脈利度滑。
7889,澀脈,脈利度澀。
7890,澀脈,脈幅異常。
7891,長脈,脈長度長。
7892,短脈,脈長度短。
7893,洪脈,脈寬度寬。
7894,細脈,脈寬度細。
7895,緊脈,脈緊度緊。
7896,芤脈,脈緊度緊。
7897,芤脈,脈長度長。
7898,芤脈,脈形中空。
7899,弦脈,脈緊度緊。
7900,弦脈,脈長度長。
7901,革脈,脈速度快。
7902,革脈,脈力度強。
7903,革脈,脈寬度寬。
7904,革脈,脈緊度緊。
7905,革脈,脈形中空。
7906,革脈,脈部位浮。
7907,濡脈,脈部位浮。
7908,濡脈,脈力度弱。
7909,濡脈,脈寬度細。
7910,弱脈,脈部位沉。
7911,弱脈,脈力度弱。
7912,弱脈,脈寬度細。
7913,弱脈,脈緊度散。
7914,散脈,脈緊度散。
7915,動脈,脈速度快。
7916,動脈,脈力度強。
7917,動脈,脈利度滑。
7918,動脈,脈長度短。
7919,促脈,脈速度快。
7920,促脈,脈止率亂。
7921,結脈,脈速度慢。
7922,結脈,脈止率亂。
7923,代脈,脈止率定。
7924,舌光絳,舌體顏色紅色。
7925,面頰、爪甲、唇、舌、目，以及皮膚、斑疹、瘡癤、痈疔等色見紅赤,面色紅。
7926,面頰、爪甲、唇、舌、目，以及皮膚、斑疹、瘡癤、痈疔等色見紅赤,指甲色紅。
7927,面頰、爪甲、唇、舌、目，以及皮膚、斑疹、瘡癤、痈疔等色見紅赤,唇色紅。
7928,面頰、爪甲、唇、舌、目，以及皮膚、斑疹、瘡癤、痈疔等色見紅赤,目紅。
7929,面頰、爪甲、唇、舌、目，以及皮膚、斑疹、瘡癤、痈疔等色見紅赤,皮膚紅斑。
7930,面頰、爪甲、唇、舌、目，以及皮膚、斑疹、瘡癤、痈疔等色見紅赤,皮膚紅疹。
7931,面頰、爪甲、唇、舌、目，以及皮膚、斑疹、瘡癤、痈疔等色見紅赤,皮膚生瘡。
7932,面頰、爪甲、唇、舌、目，以及皮膚、斑疹、瘡癤、痈疔等色見紅赤,舌體顏色紅色。
7933,舌萎或唇萎,唇痿。
7934,舌萎或唇萎,舌形狀瘦薄。
7935,舌絳枯萎,舌體顏色紅色。
7936,舌絳枯萎,舌形狀瘦薄。
7937,唇舌淡白,唇色白。
7938,唇舌淡白,舌體顏色淡白色。
7939,舌紅,舌體顏色紅色。
7940,脈細,脈寬度細。
7941,唇舌俱淡,唇色白。
7942,唇舌俱淡,舌體顏色淡白色。
7943,唇舌皆無血色,唇色白。
7944,唇舌皆無血色,舌體顏色淡白色。
7945,舌紅唇朱,唇色紅。
7946,舌紅唇朱,舌體顏色紅色。
7947,舌、頰腫脹,面腫脹。
7948,舌、頰腫脹,舌形狀胖大。
7949,舌上出血不止，舌必紅爛，其裂紋中有紅痕二發現，血從痕中流出,舌體顏色紅色。
7950,高熱口乾舌紅,壯熱。
7951,高熱口乾舌紅,口乾。
7952,高熱口乾舌紅,舌體顏色紅色。
7953,唇紫舌淡,唇色紫。
7954,唇紫舌淡,舌體顏色淡白色。
7955,納呆,食欲低落。
7956,周身拘束,四肢強直。
7957,胸脘腹脅脹痛，或走注疼痛，得矢氣則減,胸脹。
7958,胸脘腹脅脹痛，或走注疼痛，得矢氣則減,胸痛。
7959,胸脘腹脅脹痛，或走注疼痛，得矢氣則減,腹脹。
7960,胸脘腹脅脹痛，或走注疼痛，得矢氣則減,腹痛。
7961,胸脘腹脅脹痛，或走注疼痛，得矢氣則減,脅脹。
7962,胸脘腹脅脹痛，或走注疼痛，得矢氣則減,脅痛。
7963,胸脘腹脅脹痛，或走注疼痛，得矢氣則減,矢氣量少。
7964,脘痞，按之漉漉有聲,胃悶。
7965,咳聲窘迫,咳嗽。
7966,面色暗淡,面色暗。
7967,身重踡臥,全身重。
7968,身重踡臥,蜷臥。
7969,腹痛喜按,腹痛。
7970,身寒足冷,畏寒。
7971,身寒足冷,足冷。
7972,大便溏腥臭,大便質稀。
7973,大便溏腥臭,大便味臭。
7974,身熱肢暖,身熱不揚。
7975,唇乾舌燥,唇乾。
7976,唇乾舌燥,舌苔濕度乾。
7977,肌膚皺癟,皮膚皺癟。
7978,小便極少,小便次少。
7979,大汗淋漓，汗溫、鹹而稀,汗口味鹹辛。
7980,大汗淋漓，汗溫、鹹而稀,大汗。
7981,面色紅赤,面色紅。
7982,肌膚灼熱,全身灼熱。
7983,神煩,情緒煩躁。
7984,躁動不安,情緒心慌。
7985,躁動不安,情緒煩躁。
7986,語聲粗濁或罵詈無常,意識譫語。
7987,喘促痰鳴,呼吸急促。
7988,喘促痰鳴,呼吸痰鳴。
7989,口乾渴飲,口乾。
7990,口乾渴飲,口渴。
7991,大便秘結，奇臭,大便質硬。
7992,大便秘結，奇臭,大便次少。
7993,大便秘結，奇臭,大便味臭。
7994,小便涩痛，短赤,小便疼痛。
7995,小便涩痛，短赤,小便量少。
7996,小便涩痛，短赤,小便色紅。
7997,小便涩痛，短赤,小便不暢。
7998,面色白光,面色白。
7999,口淡多涎,口淡。
8000,口淡多涎,涎量多。
8001,喘咳身腫,全身腫脹。
8002,喘咳身腫,咳喘。
8003,腹大脛腫,腹腫。
8004,腹大脛腫,脛浮腫。
8005,大便溏薄或五更泄瀉,大便質稀。
8006,陽萎早泄,陽痿。
8007,陽萎早泄,早洩。
8008,宮冷不孕,妊娠不孕。
8009,汗冷，味淡微黏,冷汗。
8010,汗冷，味淡微黏,汗口味淡。
8011,汗冷，味淡微黏,汗質黏。
8012,身涼惡寒,惡寒。
8013,身涼惡寒,四肢冷。
8014,踡臥神疲,情緒神疲。
8015,踡臥神疲,蜷臥。
8016,頭身疼痛,頭痛。
8017,頭身疼痛,全身痛。
8018,鼻塞流涕,鼻塞。
8019,鼻塞流涕,鼻流涕。
8020,喉癢咳嗽,喉癢。
8021,喉癢咳嗽,咳嗽。
8022,惡寒重,惡寒。
8023,發熱輕,低熱。
8024,微風惡寒,惡寒。
8025,微渴,口渴。
8026,短氣，動則氣喘,呼吸微弱。
8027,短氣，動則氣喘,呼吸急促。
8028,怠倦乏力,情緒神疲。
8029,怠倦乏力,四肢無力。
8030,身骨疼痛,全身痛。
8031,身骨疼痛,骨痛。
8032,壯熱惡熱,壯熱。
8033,壯熱惡熱,惡熱。
8034,微熱潮熱,潮熱。
8035,微熱潮熱,低熱。
8036,煩躁神昏,情緒煩躁。
8037,煩躁神昏,意識昏迷。
8038,倦臥神疲,蜷臥。
8039,倦臥神疲,情緒神疲。
8040,腹痛嘔惡,腹痛。
8041,腹痛嘔惡,嘔吐。
8042,腹痛嘔惡,噁心。
8043,靜而少言,情緒寡言。
8044,面紅身熱,面色紅。
8045,面紅身熱,身熱不揚。
8046,煩躁多言,情緒煩躁。
8047,煩躁多言,意識多言。
8048,肢冷踡臥,四肢冷。
8049,肢冷踡臥,蜷臥。
8050,痰涎、涕清稀,涕色清。
8051,痰涎、涕清稀,涕質稀。
8052,痰涎、涕清稀,涎質稀。
8053,痰涎、涕清稀,痰色清。
8054,痰涎、涕清稀,痰質稀。
8055,惡熱喜冷,惡熱。
8056,惡熱喜冷,喜涼。
8057,面赤目赤,面色紅。
8058,面赤目赤,目紅。
8059,痰黃稠,痰色黃。
8060,痰黃稠,痰質濃。
8061,涕黃稠,涕質濃。
8062,涕黃稠,涕色黃。
8063,吐血衄血,鼻衄。
8064,吐血衄血,吐血。
8065,面色淡白或萎黃,面色白。
8066,面色淡白或萎黃,面色黃。
8067,消瘦顴紅,全身消瘦。
8068,消瘦顴紅,面色紅。
8069,面顴紅赤,面色紅。
8070,腹脹痛拒按,腹脹。
8071,腹脹痛拒按,腹痛。
8072,下利，裡急後重,大便質稀。
8073,下利，裡急後重,大便次多。
8074,下利，裡急後重,大便不暢。
8075,下利，裡急後重,大便急迫。
8076,小便下利，淋瀝澀痛,小便不暢。
8077,小便下利，淋瀝澀痛,小便疼痛。
8078,小便下利，淋瀝澀痛,小便次多。
8079,小便下利，淋瀝澀痛,小便不盡。
8080,腸鳴腹瀉,腹鳴。
8081,腸鳴腹瀉,大便質稀。
8082,腸鳴腹瀉,大便次多。
8083,痰鳴喘嗽,咳嗽。
8084,痰鳴喘嗽,呼吸急促。
8085,痰鳴喘嗽,呼吸痰鳴。
8086,狀熱喜涼,喜涼。
8087,狀熱喜涼,壯熱。
8088,口渴飲冷,渴喜冷飲。
8089,腹脹滿痛拒按,腹脹。
8090,腹脹滿痛拒按,腹痛。
8091,舌淡胖嫩,舌形狀胖大。
8092,舌淡胖嫩,舌形狀嫩。
8093,舌淡胖嫩,舌體顏色淡白色。
8094,舌苔潤滑,舌苔濕度潤。
8095,舌苔潤滑,舌苔濕度滑。
8096,舌紅乾,舌體顏色紅色。
8097,舌紅乾,舌苔濕度乾。
8098,舌質紅降,舌體顏色深紅色。
8099,苔黃黑生芒刺,舌苔顏色黃。
8100,苔黃黑生芒刺,舌體顏色黑色。
8101,苔黃黑生芒刺,舌形狀芒刺。
8102,唇舌色淡,舌體顏色淡白色。
8103,苔白滑,舌苔顏色白。
8104,苔白滑,舌苔濕度滑。
8105,舌苔薄白或薄黃,舌苔顏色白。
8106,舌苔薄白或薄黃,舌苔顏色黃。
8107,苔薄白潤,舌苔顏色白。
8108,苔薄白潤,舌苔濕度潤。
8109,舌邊尖紅赤,舌尖顏色深紅。
8110,舌淡苔白,舌體顏色淡白色。
8111,舌淡苔白,舌苔顏色白。
8112,苔厚,舌苔厚度厚。
8113,舌質淡,舌體顏色淡白色。
8114,苔白潤,舌苔顏色白。
8115,苔白潤,舌苔濕度潤。
8116,舌質紅,舌體顏色紅色。
8117,苔黃,舌苔顏色黃。
8118,舌淡苔白而潤滑,舌體顏色淡白色。
8119,舌淡苔白而潤滑,舌苔顏色白。
8120,舌淡苔白而潤滑,舌苔濕度潤。
8121,舌淡苔白而潤滑,舌苔濕度滑。
8122,舌紅苔黃而乾燥,舌體顏色紅色。
8123,舌紅苔黃而乾燥,舌苔顏色黃。
8124,舌紅苔黃而乾燥,舌苔濕度乾。
8125,舌紅少苔,舌體顏色紅色。
8126,舌紅少苔,舌苔厚度薄。
8127,舌質淡嫩,舌體顏色淡白色。
8128,舌質淡嫩,舌形狀嫩。
8129,舌質蒼老,舌苔質地黏膩。
8130,舌苔厚膩,舌苔質地黏膩。
8131,舌苔厚膩,舌苔厚度厚。
8132,舌苔白潤,舌苔顏色白。
8133,舌苔白潤,舌苔濕度潤。
8134,舌紅苔黃而乾,舌體顏色紅色。
8135,舌紅苔黃而乾,舌苔顏色黃。
8136,舌紅苔黃而乾,舌苔濕度乾。
8137,舌淡白潤,舌體顏色淡白色。
8138,舌淡白潤,舌苔濕度潤。
8139,舌苔白,舌苔顏色白。
8140,舌赤苔黃,舌體顏色紅色。
8141,舌赤苔黃,舌苔顏色黃。
8142,舌厚而軟,舌苔厚度厚。
8143,舌厚而軟,舌苔質地黏膩。
8144,舌苔薄白,舌苔顏色白。
8145,舌苔薄白,舌苔厚度薄。
8146,舌淡紅,舌體顏色淡紅色。
8147,舌苔黃厚,舌苔厚度厚。
8148,舌苔黃厚,舌苔顏色黃。
8149,舌苔白滑,舌苔濕度滑。
8150,舌苔白滑,舌苔顏色白。
8151,舌苔黃而糙,舌苔顏色黃。
8152,舌苔黃而糙,舌苔質地糙。
8153,舌色紫暗,舌體顏色紫色。
8154,舌質胖,舌形狀胖大。
8155,舌紅絳,舌體顏色深紅色。
8156,舌質淡苔白,舌苔厚度薄。
8157,舌質淡苔白,舌體顏色淡白色。
8158,舌白潤,舌苔濕度潤。
8159,舌苔黃,舌苔顏色黃。
8160,舌紅少苔或光剝,舌體顏色紅色。
8161,舌紅少苔或光剝,舌苔厚度薄。
8162,舌苔膩,舌苔質地黏膩。
8163,舌苔黃膩,舌苔顏色黃。
8164,舌苔黃膩,舌苔質地黏膩。
8165,舌苔厚膩或黃厚膩,舌苔顏色黃。
8166,舌苔厚膩或黃厚膩,舌苔質地黏膩。
8167,舌苔厚膩或黃厚膩,舌苔厚度厚。
8168,舌苔膩或黃膩,舌苔顏色黃。
8169,舌苔膩或黃膩,舌苔質地黏膩。
8170,舌苔膩或黃膩,舌苔厚度厚。
8171,舌質光紅少苔,舌體顏色紅色。
8172,舌質光紅少苔,舌苔厚度薄。
8173,舌苔膩或垢濁,舌苔質地黏膩。
8174,舌苔膩或垢濁,舌苔厚度厚。
8175,舌苔老黃或厚膩,舌苔顏色黃。
8176,舌苔老黃或厚膩,舌苔質地黏膩。
8177,舌苔老黃或厚膩,舌苔厚度厚。
8178,舌苔濁膩,舌苔質地黏膩。
8179,舌苔濁膩,舌苔厚度厚。
8180,舌質淡胖,舌形狀胖大。
8181,舌質淡胖,舌苔厚度薄。
